0.839867	192	1199	21	3.95238	0.9232	4608	60000	0.9165	835	10000	0.909867	0.915647	6056.33
0.874896	150	1199	22	4	0.923833	4570	60000	0.9175	825	10000	0.914965	0.916657	6119.5
0.849041	181	1199	19	4.10526	0.924417	4535	60000	0.9158	842	10000	0.913943	0.914768	5464.65
0.855713	173	1199	18	4.38889	0.922833	4630	60000	0.9165	835	10000	0.915407	0.91583	6172.85
0.857381	171	1199	17	3.82353	0.924483	4531	60000	0.9189	811	10000	0.914499	0.91828	6166.38
0.870726	155	1199	23	4	0.92295	4623	60000	0.9125	875	10000	0.920109	0.911691	5845.94
0.870726	155	1199	21	3.80952	0.923367	4598	60000	0.9143	857	10000	0.910565	0.913691	6274.07
0.883236	140	1199	26	4.15385	0.9237	4578	60000	0.9144	856	10000	0.918563	0.913638	6491.04
0.868224	158	1199	19	3.89474	0.923917	4565	60000	0.9163	837	10000	0.90778	0.915702	7044.28
0.870726	155	1199	25	3.92	0.924933	4504	60000	0.9175	825	10000	0.911873	0.916739	6237.42
