0
11	0	12	0	0	->	1	0.199638
0	14	0	2	0	->	1	0.164436
0	11	8	1	4	->	1	0.262995
11	0	0	0	12	->	1	0.224245
12	0	0	0	8	->	1	0.270732
4	0	0	1	0	->	0	0.0754083
0	0	14	0	0	->	0	0.13146
4	0	0	0	0	->	1	0.0152769
0	8	7	0	0	->	0	0.510367
1	0	0	0	0	->	1	0.0575992
0	4	12	0	0	->	1	0.0623337
3	0	0	2	0	->	1	0.199408
0	0	8	2	0	->	1	0.316829
14	0	8	11	0	->	0	0.386507
12	14	0	0	0	->	0	0.0174387
0	7	0	11	0	->	0	0.154431
7	0	5	0	6	->	1	0.159527
8	0	0	7	0	->	0	0.517803
1
11	0	12	0	0	->	1	0.199638
0	14	0	2	0	->	1	0.164436
0	11	8	1	4	->	1	0.262995
11	0	0	0	12	->	1	0.224245
12	0	0	0	8	->	1	0.270732
4	0	0	1	0	->	0	0.0754083
0	0	14	0	0	->	0	0.13146
4	0	0	0	0	->	1	0.0152769
0	8	7	0	0	->	0	0.510367
1	0	0	0	0	->	1	0.0575992
0	4	12	0	0	->	1	0.0623337
3	0	0	2	0	->	1	0.199408
0	0	8	2	0	->	1	0.316829
14	0	8	11	0	->	0	0.386507
12	14	0	0	0	->	0	0.0174387
0	7	0	11	0	->	0	0.154431
7	0	5	0	6	->	1	0.159527
8	0	0	7	0	->	0	0.517803
2
7	0	0	0	14	->	1	0.208513
3	0	0	2	0	->	1	0.199408
4	0	0	0	0	->	1	0.0152769
11	0	0	0	0	->	1	0.116873
11	11	4	8	0	->	1	0.542773
0	7	0	11	0	->	0	0.154431
12	14	0	0	0	->	0	0.0174387
12	0	0	0	8	->	1	0.270732
11	0	0	0	12	->	1	0.224245
0	11	8	1	4	->	1	0.262995
12	12	13	0	0	->	1	0.266399
0	0	8	0	12	->	1	0.257199
0	0	8	2	0	->	1	0.316829
0	14	0	2	0	->	1	0.164436
8	0	0	7	0	->	0	0.517803
11	0	12	0	0	->	1	0.199638
0	8	7	0	0	->	0	0.510367
0	0	14	0	0	->	0	0.13146
2	4	0	7	0	->	0	0.376326
12	0	0	0	0	->	1	0.0150179
3	0	8	14	0	->	1	0.290991
7	11	0	7	0	->	1	0.157724
8	3	0	7	13	->	0	0.189251
13	11	4	8	0	->	0	0.17334
3
8	0	0	7	0	->	0	0.517803
0	8	7	0	0	->	0	0.510367
8	0	0	1	0	->	0	0.385114
0	7	0	8	0	->	1	0.448
0	12	0	7	0	->	0	0.278143
11	0	12	0	7	->	1	0.109519
5	0	8	0	0	->	0	0.296887
0	0	8	2	5	->	1	0.451609
0	0	13	13	8	->	1	0.745477
0	7	0	0	0	->	1	0.141561
0	7	0	8	14	->	1	0.51318
4
8	0	0	7	0	->	0	0.517803
0	8	7	0	0	->	0	0.510367
8	0	0	1	0	->	0	0.385114
0	7	0	8	0	->	1	0.448
0	12	0	7	0	->	0	0.278143
11	0	12	0	7	->	1	0.109519
5	0	8	0	0	->	0	0.296887
0	0	8	2	5	->	1	0.451609
0	0	13	13	8	->	1	0.745477
0	7	0	0	0	->	1	0.141561
0	7	0	8	14	->	1	0.51318
5
0	11	8	1	4	->	1	0.262995
0	0	8	2	0	->	1	0.316829
12	12	13	0	0	->	1	0.266399
2	4	0	7	0	->	0	0.376326
11	11	4	8	0	->	1	0.542773
0	8	7	0	0	->	0	0.510367
6
11	11	4	8	0	->	1	0.542773
2	4	0	7	0	->	0	0.376326
8	0	0	7	0	->	0	0.517803
7	8	0	0	11	->	0	0.284736
11	0	12	0	0	->	1	0.199638
0	12	0	7	0	->	0	0.278143
11	0	0	0	0	->	1	0.116873
4	0	8	0	0	->	1	0.239017
0	8	7	0	0	->	0	0.510367
8	0	0	7	0	->	0	0.517803
0	12	11	0	11	->	0	0.588062
0	7	0	11	0	->	0	0.154431
0	0	8	2	0	->	1	0.316829
0	8	7	0	0	->	0	0.510367
11	11	4	8	0	->	1	0.542773
7	0	0	0	14	->	1	0.208513
4	0	8	8	0	->	1	0.483263
7	1	14	9	8	->	1	0.979125
0	0	8	2	0	->	1	0.316829
7	11	0	2	0	->	1	0.427995
7
2	4	0	7	0	->	0	0.376326
0	0	8	2	0	->	1	0.316829
0	8	7	0	0	->	0	0.510367
11	7	0	12	0	->	1	0.386445
0	7	0	11	0	->	0	0.154431
11	0	0	0	12	->	1	0.224245
4	7	4	8	7	->	1	0.390193
4	0	8	0	0	->	1	0.239017
11	11	4	8	0	->	1	0.542773
