0	0.751715	181	729	16	2.0625	0.731963	1304	4865	0.74397	138	539	0.70915	0.734654	0.415
1	0.765432	171	729	25	2.12	0.731963	1304	4865	0.74397	138	539	0.70915	0.734654	0.622
2	0.766804	170	729	24	2.33333	0.731963	1304	4865	0.753247	133	539	0.722565	0.752923	0.838
3	0.762689	173	729	11	2.27273	0.735457	1287	4865	0.749536	135	539	0.716814	0.744431	1.062
4	0.768176	169	729	19	2.36842	0.735457	1287	4865	0.749536	135	539	0.716814	0.744431	1.263
5	0.770919	167	729	6	3	0.74409	1245	4865	0.738404	141	539	0.729552	0.726317	1.481
6	0.786008	156	729	20	2.55	0.753135	1201	4865	0.734694	143	539	0.744241	0.738046	1.684
7	0.799726	146	729	27	2.62963	0.754573	1194	4865	0.732839	144	539	0.748482	0.740305	1.885
8	0.799726	146	729	27	2.62963	0.754573	1194	4865	0.732839	144	539	0.748482	0.740305	2.101
9	0.799726	146	729	27	2.62963	0.754573	1194	4865	0.732839	144	539	0.748482	0.740305	2.34
